config,N,K,task,trial,point_idx,tau,val_nrmse,test_nrmse,val_score,test_score
N60_K13_baseline,60,13,narma10,2,2,0.15017108890398193,0.6933080626817546,0.60669834476515,-0.6933080626817546,-0.60669834476515
N60_K13_baseline,60,13,narma10,2,3,0.20574746894441603,0.6785041751233216,0.5989787328797535,-0.6785041751233216,-0.5989787328797535
N60_K13_baseline,60,13,narma10,2,4,0.28189194928259564,0.6707157106689828,0.5732498309898074,-0.6707157106689828,-0.5732498309898074
N60_K13_baseline,60,13,narma10,2,5,0.38621651813276453,0.6765318196595717,0.583736342787191,-0.6765318196595717,-0.583736342787191
N60_K13_baseline,60,13,narma10,2,6,0.529150262212918,0.7090500202755606,0.668789335188606,-0.7090500202755606,-0.668789335188606
N60_K13_baseline,60,13,narma10,2,7,0.7249819385087718,0.7624489941995674,0.7039461424808899,-0.7624489941995674,-0.7039461424808899
N60_K13_baseline,60,13,narma10,2,8,0.9932883883792685,0.6758088011590853,0.6175684221360324,-0.6758088011590853,-0.6175684221360324
N60_K13_baseline,60,13,narma10,2,9,1.3608915892697748,0.6131024990024361,0.5734571455835085,-0.6131024990024361,-0.5734571455835085
N60_K13_baseline,60,13,narma10,2,10,1.864539985982451,0.5968117357908986,0.5539766868317072,-0.5968117357908986,-0.5539766868317072
N60_K13_baseline,60,13,narma10,2,11,2.554582148011408,0.5961724759957492,0.5456322442996268,-0.5961724759957492,-0.5456322442996268
N60_K13_baseline,60,13,narma10,2,12,3.5,0.6050636968476157,0.5574885186648533,-0.6050636968476157,-0.5574885186648533
N60_K13_baseline,60,13,narma10,3,0,0.07999999999999999,0.7324072444149979,0.750830307742951,-0.7324072444149979,-0.750830307742951
N60_K13_baseline,60,13,narma10,3,1,0.1096069665318704,0.7357754175931505,0.7695768323210781,-0.7357754175931505,-0.7695768323210781
N60_K13_baseline,60,13,narma10,3,2,0.15017108890398193,0.7384756716910627,0.789031326455434,-0.7384756716910627,-0.789031326455434
N60_K13_baseline,60,13,narma10,3,3,0.20574746894441603,0.7439637862201136,0.7901863602575209,-0.7439637862201136,-0.7901863602575209
N60_K13_baseline,60,13,narma10,3,4,0.28189194928259564,0.7371377325902838,0.7772296780059684,-0.7371377325902838,-0.7772296780059684
N60_K13_baseline,60,13,narma10,3,5,0.38621651813276453,0.7633590791520138,0.7640908666517011,-0.7633590791520138,-0.7640908666517011
N60_K13_baseline,60,13,narma10,3,6,0.529150262212918,0.7845710808046783,0.7747057875100908,-0.7845710808046783,-0.7747057875100908
N60_K13_baseline,60,13,narma10,3,7,0.7249819385087718,0.7857357758129462,0.8062284446667282,-0.7857357758129462,-0.8062284446667282
N60_K13_baseline,60,13,narma10,3,8,0.9932883883792685,0.7194380331943865,0.7986416390341323,-0.7194380331943865,-0.7986416390341323
N60_K13_baseline,60,13,narma10,3,9,1.3608915892697748,0.6963033629965257,0.7596515901990237,-0.6963033629965257,-0.7596515901990237
